,From,To,Thickness (m),Consolidated Lithology,Unnamed: 4
0,0,1.5,1.5,Top Soil: Grey mixed with silt and sand grains.,
1,1.5,4.5,3.0,"Basalt: Weathered; brownish grey and black; irregular
pebbles.",
2,4.5,19.0,14.5,Basalt: Fresh; hard; black with irregular chips,
3,19,27.0,8.0,"Basalt: Vesicular; hard; compact; partially filled with Green
Earth Minerals.",
4,27,39.0,12.0,"Basalt: Massive; fresh; hard and compact with irregular
chips.",
5,39,47.0,8.0,"Basalt: Amygdular; fresh; hard filled with secondary
minerals.",
6,47,60.0,13.0,"Basalt: Massive; fresh; hard and compact with irregular
chips.",
7,60,67.0,7.0,"Basalt: Amygdular; dark, fresh, hard and partially filled with
secondary minerals.",
8,67,87.5,20.5,Basalt: Massive; fresh; hard and compact with irregular chips.,
9,87.5,96.05,8.55,"Red bole: Red; pure, sticky mixed with friable irregular pebbles.",
10,96.05,101.7,5.65,"Basalt: Amygdular, brown, hard mixed with secondary
minerals.",
11,101.7,104.7,3.0,"Green bole: green, sticky friable pebbles of 10-15cm, with negligible basalt chips.",
12,104.7,118.65,13.95,"Basalt: Amygdular, dark brown, hard fresh mixed/filled with",
13,,,,secondary minerals.,
14,118.7,152.0,33.35,"Basalt: Massive, dark, fresh, compact medium grained with
negligible chips.",
15,152,152.55,0.55,"Fractured Basalt: brown, medium grained mixed with friable
chips.Q:0.8 lps",
16,152.6,160.0,7.45,"Basalt: Massive, dark, fresh medium to fine grained",
17,160,161.0,1.0,"Fractured Basalt: brown, medium grained mixed with friable
chips;Q:4.30 lps",
18,161,173.0,12.0,"Basalt: Massive, dark, fresh, compact medium grained with
negligible chips.",
19,0,0.5,0.5,Top Soil:       Buff to Dark grey; fine silty lose soil,
20,0.5,8.65,8.15,"Basalt:         Weathered and fractured: Dark grey; irregular
pebbles with fragile chips; Fracture:7.0-8.0 m., Q; 0.38 lps",
21,8.65,50.85,42.2,"Massive Basalt:       Dark grey; fresh; hard angular/irregular
chips 2-5mm mixed with medium grains.",
22,50.85,67.8,16.95,"Amygdaloidal Basalt:      Light green, moderately hard; vesicles filled with green and Quartz sec  minerals.",
23,67.8,96.05,28.25,"Massive Basalt:    Dark grey; fresh; hard; irregular and
angular chips of 2-5 mms.  Mixed with medium grains.Fracture:79.1-  82.1 m.,Q:traces.",
24,96.05,104.7,8.65,"Amygdaloidal Basalt:      Light green and black: moderately
hard   with quartz and green sec. minerals.",
25,104.7,127.3,22.6,"Massive Basalt:       Dark grey; fresh; hard angular chips of
2-4 mm. mixed with medium grains.",
26,127.3,141.25,13.95,"Amygdaloidal Basalt: Light grey; moderately hard; angular chips of 2-4 mm.  with green and Quartz
minerals.Fracture:139.0-140 m.,Q: Traces",
27,141.25,200.0,58.75,"Massive Basalt:  Dark grey; fresh; moderately hard; very
coarse angular chips.",
28,178.15,200.0,21.85,"Massive  Basalt:    Dark  grey;  fresh;  hard;  and  angular/irregular
chips of 2-6mm",
29,61,70.5,9.5,"Basalt, Black, hard compact.",
30,70.5,72.0,1.5,"Green Bole: Green, clayey, sticky, plastic",
31,72,80.0,8.0,Vesicular filled with green earth and secondary minerals.,
32,80,85.0,5.0,"Basalt compact black mixed with sand fine to medium
(Yellowish); Fracture:82.0 to 85m m.,Q:2.16 lps",
33,85,101.7,16.7,"Clay, brownish black mixed with very fine sand.",
34,101.7,113.0,11.3,"Clay, brownish yellow, mixed with very fine sand.",
35,113,127.3,14.3,"Clay, brownish black mixed with very fine sand , yellow",
36,127.3,129.95,2.65,"Sand medium grained, yellow",
37,129.95,132.95,3.0,"Sand fine grained, yellow",
38,132.95,135.6,2.65,"Sand medium grained, yellow",
39,135.6,138.6,3.0,"Sand very fine, yellow",
40,138.6,141.25,2.65,"Sand coarse  grained, yellow",
41,141.25,152.55,11.3,"Sand medium to coarse grained, yellow",
42,152.55,178.15,25.6,"Sand medium grained, yellow",
43,178.15,189.45,11.3,"Sand, very fine to medium, yellow",
44,189.45,200.0,10.55,"Sand, very fine to medium, yellowish brown",
45,0,0.5,,0.5,Top Soil: brown; sandy and silty lose material.
46,0.5,16.95,,16.45,"Amygdular Basalt: brown, highly weathered ;  vesicles filled with
pink secondary minerals."
47,16.95,26.0,,9.05,"Massive Basalt: greyish black fresh moderately hard;
irregular chips of 2-8 mm mixed with clay"
48,26,29.0,,3,"Clay: Grey sticky plastic mixed with gravelly Amygdular basaltic
friable chips"
49,29,44.5,,15.5,"Amygdular Basalt: brown, highly weathered ; vesicles filled with
pink secondary minerals."
